aX;aY;aZ;gX;gY;gZ
0.211;-1.259;2.190;58.411;-78.857;27.405
0.108;-1.099;2.044;65.674;-46.753;8.179
0.069;-1.020;1.890;67.688;-23.499;-0.305
0.089;-0.961;1.722;68.481;-7.629;-2.563
0.148;-0.938;1.547;71.960;0.916;-7.812
0.243;-0.958;1.387;62.500;6.531;-14.526
0.392;-0.964;1.233;39.185;11.047;-16.235
0.512;-0.946;1.120;18.250;13.367;-11.414
0.600;-0.974;0.963;14.526;12.268;-4.883
0.651;-0.901;0.863;-2.502;9.094;-7.568
0.711;-0.794;0.871;-34.424;8.850;-12.268
0.786;-0.688;0.897;-65.552;16.479;-21.179
0.847;-0.662;0.912;-80.994;36.377;-35.339
0.774;-0.688;0.896;-81.726;70.068;-50.598
0.685;-0.767;0.799;-82.458;111.694;-61.829
0.638;-0.781;0.699;-88.989;149.231;-66.589
0.574;-0.770;0.612;-86.426;173.767;-63.660
0.504;-0.785;0.509;-75.684;186.340;-60.791
0.406;-0.807;0.408;-77.026;190.796;-61.157
0.332;-0.825;0.295;-85.876;189.514;-58.289
0.327;-0.905;0.109;-87.036;183.777;-51.697
0.295;-0.886;0.043;-79.468;173.096;-50.171
0.230;-1.017;-0.036;-32.471;159.607;-46.082
0.221;-1.121;-0.210;27.771;147.095;-38.147
0.228;-1.128;-0.416;67.871;141.541;-25.146
0.155;-0.509;-0.510;128.601;144.226;-12.634
-0.105;-0.742;-0.886;303.650;141.663;-34.607
0.023;-1.152;-1.283;400.757;125.732;-31.067
0.319;-1.003;-0.749;329.285;103.210;31.494
0.269;-0.752;-0.078;286.499;98.572;82.764
0.014;-1.510;-0.398;214.478;132.202;112.671
-0.316;-0.597;-0.811;8.789;157.471;190.857
-0.392;0.057;-1.146;-50.293;116.516;237.488
-0.633;-0.109;-0.809;-128.296;32.959;220.642
-0.916;0.191;-0.863;-226.746;-17.090;216.370
-1.110;0.487;-0.867;-286.072;-52.734;210.266
-1.096;0.715;-1.036;-327.087;-73.120;198.059
-0.962;0.772;-1.288;-354.431;-76.782;187.195
-1.221;0.933;-1.769;-303.223;-64.514;182.495
-1.290;1.724;-2.380;-129.944;-77.087;216.248
-1.353;2.019;-2.084;-13.794;-108.215;224.243
-1.506;1.999;-1.490;137.207;-124.756;215.454
-1.557;1.903;-1.034;280.945;-112.183;198.608
-1.516;1.697;-0.692;391.174;-90.271;171.143
-1.518;1.599;-0.470;429.993;-75.623;132.446
-1.438;1.499;-0.286;378.845;-75.745;87.158
-1.376;1.482;-0.196;272.278;-93.140;37.720
-1.365;1.612;-0.269;169.861;-120.911;-14.465
-1.361;1.667;-0.447;62.805;-153.625;-70.618
-1.345;1.610;-0.642;-17.151;-186.951;-125.793
-1.370;1.268;-0.804;-51.331;-212.891;-177.490
-1.314;0.817;-0.863;-7.935;-226.562;-211.548
-1.003;0.386;-0.849;92.651;-227.539;-220.886
-0.776;0.004;-0.783;192.200;-220.947;-214.539
-0.740;-0.318;-0.704;250.427;-213.013;-200.928
-0.707;-0.576;-0.598;275.879;-203.552;-185.364
-0.648;-0.773;-0.438;287.659;-190.796;-170.715
-0.554;-0.907;-0.148;306.580;-171.936;-159.180
-0.440;-1.069;0.147;319.031;-146.484;-153.320
-0.379;-1.213;0.477;278.015;-111.755;-148.193
-0.343;-1.298;0.795;216.248;-70.679;-142.761
-0.464;-1.347;1.099;128.479;-31.494;-147.644
-0.641;-1.395;1.336;-1.526;-9.888;-171.387
-0.841;-1.519;1.493;-134.033;-10.376;-213.318
-0.920;-1.707;1.581;-255.310;-35.095;-250.305
-0.822;-2.037;1.748;-334.351;-75.745;-266.296
-0.583;-2.459;1.951;-343.201;-112.610;-264.526
-0.338;-2.968;2.262;-312.744;-126.282;-246.460
-0.114;-3.486;2.551;-282.410;-106.934;-199.768
-0.189;-3.534;2.745;-273.499;-64.880;-121.826
-0.527;-3.255;2.803;-268.188;-23.926;-48.462
-0.878;-3.057;2.967;-218.140;3.906;-8.911
-0.944;-3.202;3.211;-145.752;22.705;-4.700
-0.976;-3.792;3.892;-60.791;39.795;-14.526
0.323;-3.830;4.000;-174.438;199.219;63.904
0.491;-2.209;4.000;-358.093;399.292;146.362
-0.158;-2.197;3.993;-61.035;286.682;11.353
-0.572;-2.362;3.778;156.189;112.854;-81.970
-0.450;-2.232;3.747;162.109;35.522;-96.863
-0.497;-2.293;4.000;47.424;-3.479;-45.898
-0.438;-2.089;4.000;-24.170;-20.325;45.776
-0.499;-1.954;4.000;-54.321;-7.446;75.439
-0.513;-1.922;3.954;5.188;23.682;63.538
-0.528;-1.931;3.664;73.120;73.425;39.551
-0.462;-1.973;3.188;95.459;124.084;22.339
-0.365;-1.990;2.694;91.919;157.166;16.846
-0.276;-1.961;2.300;66.711;166.870;20.264
-0.165;-1.837;1.968;39.490;163.025;29.358
-0.105;-1.688;1.711;19.043;156.006;38.452
-0.061;-1.539;1.508;0.916;148.743;47.180
0.012;-1.419;1.314;-18.372;137.634;49.500
0.155;-1.371;1.126;-36.072;121.277;48.828
0.337;-1.375;0.977;-56.213;94.666;46.204
0.472;-1.373;0.891;-73.608;58.533;34.546
0.604;-1.385;0.834;-71.594;34.851;12.573
0.711;-1.358;0.759;-47.241;33.081;-5.737
0.711;-1.285;0.696;-0.183;46.814;-14.221
0.564;-1.233;0.626;27.283;68.237;-13.306
0.475;-0.937;0.437;36.865;93.079;-10.010
0.299;-1.042;0.345;86.548;124.146;-5.310
0.223;-0.805;0.175;107.666;154.968;9.766
0.101;-0.819;-0.042;125.610;179.993;34.912
-0.091;-0.515;-0.367;129.028;196.106;67.566
-0.161;0.092;-0.771;139.160;191.284;91.736
-0.191;-0.278;-0.838;183.594;147.522;93.750
-0.316;-0.438;-0.790;52.612;103.271;99.854
-0.499;0.480;-0.777;-131.531;90.149;101.868
-0.625;0.797;-0.706;-169.373;94.543;89.783
-0.865;0.870;-0.479;-128.235;88.074;75.073
-0.895;0.801;-0.422;-74.524;81.848;66.528
-0.916;0.758;-0.421;-79.224;76.599;55.847
-0.988;0.619;-0.579;-129.761;75.745;44.495
-1.048;0.492;-0.850;-196.289;83.313;45.776
