aX;aY;aZ;gX;gY;gZ
-1.434;-2.541;-3.446;-198.364;-275.635;16.602
-1.252;-2.659;-3.085;-102.966;-313.538;5.676
-0.930;-2.839;-2.510;-9.155;-341.675;-8.850
-0.649;-2.967;-2.044;107.300;-348.572;-24.841
-0.222;-3.066;-1.550;230.530;-349.243;-52.795
0.208;-3.365;-1.000;327.087;-353.882;-79.407
0.754;-3.803;-0.209;376.648;-366.882;-86.121
1.354;-4.000;0.716;375.732;-368.774;-66.711
1.806;-3.908;1.218;360.107;-345.886;-20.874
2.144;-3.792;1.563;346.680;-325.317;37.354
2.748;-4.000;2.916;322.205;-338.379;105.042
2.966;-1.681;4.000;176.270;-321.411;359.192
2.711;0.225;4.000;32.898;-250.732;485.107
2.447;1.964;4.000;-146.179;-148.682;548.828
2.026;3.746;4.000;-260.010;-13.733;557.617
1.412;4.000;4.000;-227.722;115.662;493.469
0.847;4.000;4.000;-134.827;218.811;382.446
0.364;4.000;3.916;-64.392;282.043;276.001
0.012;3.838;2.868;-50.049;309.631;211.243
-0.250;3.675;2.066;-104.248;312.744;184.631
-0.402;3.637;1.555;-176.392;297.180;168.213
-0.541;3.538;1.396;-233.521;273.376;138.184
-0.698;3.284;1.460;-261.230;252.014;91.858
-0.822;2.882;1.555;-262.268;234.009;36.133
-0.932;2.428;1.715;-253.052;214.172;-14.954
-0.911;2.017;1.973;-253.601;194.397;-56.763
-0.928;1.593;2.287;-262.451;177.795;-92.468
-1.011;1.137;2.462;-244.995;177.551;-122.498
-0.749;0.715;3.352;-240.967;159.485;-145.508
-1.332;0.206;2.302;-167.786;187.988;-188.538
-1.324;-0.108;2.035;-125.061;194.336;-223.022
-1.396;-0.449;1.907;-134.521;194.702;-244.019
-1.476;-1.000;1.423;-104.614;190.063;-257.263
-1.434;-1.363;0.794;-81.299;183.167;-253.662
-1.415;-1.481;0.239;-91.614;165.771;-229.980
-1.369;-1.338;-0.258;-108.154;140.686;-194.153
-1.423;-1.195;-0.701;-119.202;108.459;-165.527
-1.303;-1.382;-1.049;-133.301;64.453;-141.052
-1.258;-1.626;-1.440;-163.879;13.306;-102.478
-1.268;-1.469;-1.585;-229.431;-43.640;-43.640
-1.349;-1.124;-1.591;-286.560;-98.816;10.864
-1.542;-0.901;-1.559;-321.777;-145.447;41.565
-1.675;-0.807;-1.681;-342.163;-176.941;50.964
-1.707;-1.191;-1.872;-323.975;-203.308;34.729
-1.690;-1.796;-2.123;-260.620;-229.797;11.292
-1.739;-2.299;-2.497;-163.208;-251.648;2.869
-1.767;-2.613;-2.616;-58.228;-286.377;3.418
-1.667;-2.835;-2.295;29.724;-334.290;6.348
-1.486;-2.917;-1.708;92.468;-380.066;9.583
-1.206;-2.952;-1.154;135.803;-401.550;10.010
-0.809;-3.091;-0.724;183.960;-399.475;-2.258
-0.185;-3.417;-0.230;243.103;-394.165;-26.428
0.540;-3.805;0.355;310.852;-387.939;-50.415
1.138;-4.000;0.907;371.521;-380.371;-59.448
1.807;-4.000;1.806;407.410;-381.104;-53.406
2.648;-4.000;3.138;401.733;-392.639;-25.208
3.337;-4.000;4.000;345.825;-388.245;58.838
3.612;-3.594;4.000;264.221;-352.600;188.477
3.580;-1.450;4.000;156.006;-286.255;316.162
3.451;0.842;4.000;51.453;-189.453;410.889
3.127;2.571;4.000;29.724;-74.890;438.721
2.584;3.670;4.000;84.473;52.307;401.978
1.959;4.000;4.000;136.658;161.011;331.360
1.390;4.000;4.000;162.231;228.638;257.324
0.947;3.958;4.000;145.081;272.095;203.430
0.614;3.663;3.419;98.999;299.988;175.293
0.423;3.478;2.864;38.940;312.927;158.630
0.352;3.262;2.644;-20.264;305.908;136.780
0.263;2.907;2.566;-65.247;301.208;106.567
0.107;2.448;2.543;-99.854;315.002;75.073
-0.043;1.897;2.516;-127.563;320.129;39.307
-0.192;1.261;2.524;-142.151;324.768;5.615
-0.365;0.719;2.663;-154.785;322.937;-16.113
-0.632;0.184;2.670;-164.978;326.843;-35.583
