aX;aY;aZ;gX;gY;gZ
-0.208;-0.539;-2.924;-229.187;192.261;-13.123
0.057;-0.883;-3.438;-159.241;202.881;-25.574
0.212;-1.162;-3.997;-98.145;205.200;-26.062
0.324;-1.288;-4.000;-77.942;188.660;-2.808
0.371;-1.286;-4.000;-98.755;153.931;34.302
0.401;-1.175;-4.000;-119.995;104.004;70.190
0.384;-1.057;-4.000;-101.746;52.429;90.942
0.339;-0.965;-4.000;-50.354;12.634;96.069
0.210;-0.866;-4.000;0.122;-23.376;98.816
-0.002;-0.799;-4.000;29.297;-64.697;105.103
-0.266;-0.719;-4.000;41.138;-111.572;114.807
-0.523;-0.645;-3.999;41.443;-160.095;125.488
-0.791;-0.606;-3.590;34.790;-200.439;131.592
-0.943;-0.585;-3.075;31.433;-234.009;129.761
-1.087;-0.634;-2.585;45.166;-271.667;126.404
-1.156;-0.696;-2.160;55.359;-300.415;122.498
-1.168;-0.817;-1.827;59.143;-309.937;114.746
-1.201;-0.941;-1.600;72.571;-305.725;104.919
-1.249;-1.001;-1.403;94.727;-296.631;92.834
-1.293;-1.073;-1.171;117.737;-295.105;82.397
-1.334;-1.157;-0.950;130.859;-301.636;77.637
-1.392;-1.169;-0.738;122.559;-311.523;77.148
-1.376;-1.223;-0.537;86.426;-324.463;84.351
-1.269;-1.252;-0.305;28.809;-333.801;100.891
-1.241;-1.204;-0.071;-19.653;-335.876;119.568
-1.205;-1.147;0.122;-49.255;-328.613;132.324
-1.133;-1.122;0.308;-60.425;-309.998;139.893
-1.066;-1.052;0.392;-46.509;-283.875;144.470
-1.051;-1.190;0.331;11.047;-261.475;133.545
-0.994;-1.244;0.156;95.520;-239.868;115.112
-0.981;-1.132;0.164;170.166;-225.220;91.309
-0.949;-0.972;0.299;236.877;-207.703;52.673
-0.947;-0.891;0.336;297.852;-190.186;12.451
-0.987;-0.864;0.324;313.843;-185.913;-10.315
-0.897;-0.819;0.424;279.175;-195.312;-13.855
-0.913;-0.576;0.885;229.187;-204.468;-8.911
-0.756;-0.256;1.237;205.017;-206.116;-14.160
-0.502;-0.189;1.422;176.758;-189.575;-32.349
-0.088;-0.213;1.830;125.549;-168.274;-57.861
0.380;-0.176;2.332;108.887;-154.724;-91.309
0.865;-0.162;3.072;120.361;-144.409;-127.075
1.348;-0.118;3.989;131.226;-110.352;-162.781
1.754;-0.319;4.000;176.880;-57.251;-190.369
2.167;-0.656;4.000;214.661;-5.249;-185.059
2.368;-1.004;4.000;190.552;21.484;-154.053
2.417;-1.181;4.000;139.099;24.353;-116.699
2.312;-1.229;4.000;80.078;50.781;-62.439
1.871;-1.079;4.000;-25.513;123.779;36.011
1.514;-0.904;3.567;-32.837;159.546;67.322
1.215;-0.740;3.048;-22.461;183.105;76.111
1.071;-0.784;2.567;-1.404;192.688;60.120
1.033;-0.913;2.221;22.522;189.331;34.363
1.004;-1.016;1.901;55.420;189.453;13.184
0.919;-1.113;1.592;92.407;194.641;3.540
0.749;-1.103;1.382;112.366;197.998;5.432
0.550;-1.084;1.244;111.145;197.144;12.146
0.392;-1.140;1.034;93.262;194.763;18.066
0.194;-1.189;0.774;63.232;196.289;23.193
-0.003;-1.182;0.522;31.921;200.012;27.832
-0.189;-1.168;0.261;12.695;202.087;30.029
-0.350;-1.168;0.001;4.150;201.355;33.203
-0.502;-1.155;-0.306;-1.831;196.045;39.246
-0.585;-1.068;-0.513;-15.259;184.631;47.485
-0.652;-0.944;-0.549;-22.095;171.021;52.429
-0.701;-0.885;-0.552;-13.916;161.194;54.504
-0.730;-0.827;-0.516;-10.132;154.541;58.716
-0.891;-0.751;-0.484;-7.019;153.931;63.782
-0.972;-0.632;-0.468;6.165;162.292;67.444
-0.823;-0.585;-0.602;34.546;177.917;72.266
-0.974;-0.634;-0.865;53.467;185.303;69.275
-0.975;-0.576;-1.099;15.991;184.692;71.716
-0.927;-0.439;-1.075;-56.641;167.236;99.792
-0.961;-0.339;-0.890;-108.215;131.104;127.563
-1.091;-0.319;-0.695;-139.343;106.689;146.484
-1.284;-0.302;-0.616;-178.589;108.948;160.339
-1.342;-0.139;-0.671;-209.106;137.146;162.659
-1.524;0.115;-0.907;-178.711;151.672;146.667
-1.750;0.458;-1.464;-102.234;163.513;126.648
-1.869;0.876;-2.195;-54.565;169.189;89.539
-1.701;1.207;-2.657;-60.669;167.419;40.527
-1.314;1.354;-2.743;-87.341;161.133;-12.329
-0.866;1.244;-2.678;-108.215;137.268;-75.989
-0.579;0.928;-2.398;-127.808;114.746;-119.568
-0.125;0.615;-2.458;-103.088;147.034;-67.322
0.088;0.400;-2.613;-90.637;173.096;-40.283
0.272;0.333;-2.904;-97.107;175.842;-57.251
0.492;0.223;-3.370;-87.402;179.321;-54.871
0.649;-0.029;-3.911;-91.187;169.250;-58.960
0.900;-0.337;-4.000;-98.511;148.682;-60.852
1.076;-0.651;-4.000;-76.904;116.150;-60.974
1.145;-0.901;-4.000;-11.353;72.449;-53.589
1.071;-0.871;-4.000;56.580;21.301;-38.574
0.919;-0.669;-4.000;95.581;-32.776;-23.926
0.714;-0.571;-4.000;124.817;-83.313;-18.494
0.529;-0.529;-3.990;142.700;-126.160;-21.362
0.301;-0.533;-3.589;157.166;-160.706;-23.743
0.045;-0.552;-3.263;175.293;-187.134;-28.625
-0.193;-0.540;-3.056;185.303;-208.435;-33.020
-0.431;-0.528;-2.855;181.091;-234.741;-35.400
-0.620;-0.537;-2.608;163.147;-264.526;-35.950
-0.763;-0.563;-2.291;141.724;-291.687;-36.011
-0.856;-0.610;-1.965;133.301;-310.303;-39.490
-0.929;-0.629;-1.627;138.916;-319.153;-44.250
-1.001;-0.604;-1.400;162.964;-317.688;-33.386
-1.084;-0.561;-1.263;191.956;-303.833;-22.034
-1.107;-0.562;-1.265;206.116;-293.518;-15.991
-1.213;-0.544;-1.211;187.866;-299.500;-12.207
-1.208;-0.563;-1.217;148.865;-309.998;-10.254
-1.218;-0.602;-1.119;100.891;-308.899;-15.991
-1.155;-0.674;-0.992;48.340;-312.317;-14.893
-1.094;-0.700;-0.828;0.610;-309.753;-12.024
-1.051;-0.805;-0.676;-14.587;-305.908;-7.812
-0.961;-0.988;-0.471;-16.418;-295.410;-3.540
-0.828;-1.094;-0.227;-11.597;-277.344;2.380
-0.775;-1.034;-0.050;3.662;-253.723;6.592
-0.750;-0.904;0.093;15.747;-232.971;6.836
-0.759;-0.823;0.290;17.883;-220.337;4.761
-0.714;-0.820;0.531;13.184;-204.773;2.441
